secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,expiration,rate
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-09-26,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-09-28,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-01,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-03,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-05,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-08,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-10,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-12,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-15,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-17,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-19,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-22,0.061721
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-26,0
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-10-31,0.129204
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-11-02,0.116559
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-11-09,0.501366
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-11-16,0.809698
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-11-23,0.835734
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-11-30,1.016534
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-12-21,1.134167
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2018-12-31,0.934701
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-01-18,0.918207
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-01-31,0.878656
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-02-28,1.210638
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.316517
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-03-29,1.260522
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.415774
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-06-28,1.416604
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-09-20,1.494321
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.562093
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2020-06-19,1.660452
108105,2018-09-18,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.717195
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-09-19,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-09-21,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-09-24,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-09-26,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-09-28,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-01,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-03,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-05,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-08,0
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-10,0.143081
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-12,0.079964
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-15,0.215016
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-17,0.235181
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-19,0.190458
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-22,0.347368
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-26,0.23541
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-10-31,0.372605
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-11-02,0.360671
